Treatment,hsd11b2
CF,103.5481942
CF,109.1453939
CF,150.1915249
CF,75.56219575
CF,55.03913023
CF,165.1173907
TF,636.2150308
CF,91.42092819
TF,276.0635214
CF,220.6376407
TF,306.9741087
CF,114.0494085
TF,271.7999921
CF,79.94117415
TF,187.5952887
CF,239.8235225
TF,275.3971769
CF,265.0697828
TF,120.4862649
CF,173.2707238
TF,142.2885414
CF,131.9611473
TF,358.01633
CF,40.2393503
TF,187.4564855
CF,220.8257029
CF,178.6234574
TF,613.4047302
CF,169.7904293
TF,143.291345
CF,209.048332
TF,386.6903419
CF,279.1648873
TF,415.5605171
CF,98.15386448
TF,341.6264374
CF,214.1538861
TF,182.2857483
CF,226.9011413
TF,326.3297313
CF,368.9403267
TF,198.1520936
CF,140.5936283
TF,161.3524191
CF,121.7220004
TF,240.6132565
CF,216.0801402
TP,48.1226513
TP,180.0511084
TP,101.975849
TP,270.8733489
TP,85.24543626
TP,141.810165